m,k,nodes,edges,girth,is_bipartite,spectral_asymmetry,diameter,radius,graph_energy,lambda_max,lambda_min,algebraic_connectivity,avg_clustering_coeff,avg_shortest_path
5,32,340,510,5,False,0.002845231693874073,67,34,534.2720919587649,3.000000000000002,-2.997154768306128,0.0028452316938730893,0.0,22.952975880617736
5,33,350,525,5,False,0.002685005545651098,69,35,550.0249799005891,3.0000000000000053,-2.9973149944543542,0.002685005545634616,0.0,23.61367171510438
5,34,360,540,5,False,0.0025379414633106556,71,36,565.7778678424139,2.999999999999993,-2.9974620585366822,0.002537941463322288,0.0,24.274682760755184
5,35,370,555,5,False,0.0024026364152582858,73,37,581.5307557842386,2.999999999999989,-2.9975973635847306,0.002402636415267543,0.0,24.935984765253057
5,36,380,570,5,False,0.002277869443758185,75,38,597.2836437260631,3.000000000000001,-2.9977221305562427,0.0022778694437606026,0.0,25.59755589501458
5,37,390,585,5,False,0.0021625740315935893,77,39,613.0365316678875,2.999999999999997,-2.9978374259684033,0.002162574031603401,0.0,26.25937644189572
5,38,400,600,5,False,0.0020558152406313646,79,40,628.7894196097126,2.999999999999999,-2.9979441847593677,0.0020558152406221454,0.0,26.92142857142857
5,39,410,615,5,False,0.0019567707027707826,81,41,644.5423075515371,2.999999999999994,-2.998043229297223,0.0019567707027768645,0.0,27.583696105909713
5,40,420,630,5,False,0.001864714739398643,83,42,660.2951954933619,3.000000000000008,-2.9981352852606094,0.0018647147393876838,0.0,28.24616433685646
5,41,430,645,5,False,0.0017790050341268682,85,43,676.0480834351861,3.0000000000000036,-2.9982209949658767,0.0017790050341161365,0.0,28.908819862308235
5,42,440,660,5,False,0.0016990714004374574,87,44,691.8009713770107,3.0000000000000027,-2.998300928599565,0.0016990714004254596,0.0,29.571650445226755
5,43,450,675,5,False,0.001624406276073298,89,45,707.5538593188355,2.9999999999999987,-2.9983755937239254,0.001624406276077983,0.0,30.234644889878744
5,44,460,690,5,False,0.0015545566473722516,91,46,723.3067472606599,3.0000000000000004,-2.998445443352628,0.0015545566473638547,0.0,30.89779293359856
5,45,470,705,5,False,0.0014891171628925726,93,47,739.059635202485,3.0000000000000218,-2.998510882837129,0.0014891171628909948,0.0,31.561085151748856
5,46,480,720,5,False,0.0014277242403601953,95,48,754.8125231443092,3.0000000000000044,-2.9985722757596442,0.001427724240347942,0.0,32.22451287404314
5,47,490,735,5,False,0.0013700510063734406,97,49,770.5654110861341,2.9999999999999822,-2.998629948993609,0.0013700510063962188,0.0,32.88806811067985
5,48,500,750,5,False,0.001315802937385424,99,50,786.3182990279588,3.0000000000000058,-2.9986841970626203,0.001315802937381947,0.0,33.55174348697395
5,49,510,765,5,False,0.0012647140922537048,101,51,802.0711869697836,2.9999999999999916,-2.998735285907738,0.00126471409226035,0.0,34.215532185369234
5,50,520,780,5,False,0.0012165438476072765,103,52,817.8240749116081,2.999999999999991,-2.998783456152384,0.0012165438476112833,0.0,34.87942789387876
6,0,24,36,5,False,0.585786437626914,5,5,36.02168192195563,3.0000000000000107,-2.4142135623730967,0.5690921631669335,0.0,2.9130434782608696
